Sr No	StopCode	  StopName	LatLong	Type	Direction	Road Name	Depot	ROUTE 1	ROUTE 2	ROUTE 3	ROUTE 4	ROUTE 5	ROUTE 6	ROUTE 7	ROUTE 8	ROUTE 9	ROUTE 10	ROUTE 11	ROUTE 12	ROUTE 13	ROUTE 14	ROUTE 15	ROUTE 16	ROUTE 17	ROUTE 18	ROUTE 19	ROUTE 20	ROUTE 21	ROUTE 22	ROUTE 23	ROUTE 24	ROUTE 25	ROUTE 26	ROUTE 27	ROUTE 28	ROUTE 29	ROUTE 30
1	01001	AFGHAN CHURCH	18.9073867797851,72.816856384277344	Pole	DN	NANABHAI MOOSE ROAD	Colaba	0010	0021	0030	0111	0680	1030	1060	1230	1250	1370																				
2	01002	AFGHAN CHURCH	18.9070281982421,72.816635131835938	Shelter 	UP	NANABHAI MOOSE ROAD	Colaba	0010	0021	0030	0111	0680	1030	1060	1230	1250	1370																				
4	01004	B.P.T. COLONY	19.017292022705,72.8643798828125	Shelter	DN	JINABHAI MULJI RATHOD ROAD	Colaba	0450																													
5	01005	B.P.T. COLONY	18.9641933441162,72.841560363769531	Shelter	UP	JINABHAI MULJI RATHOD ROAD	Colaba	0450																													
6	01006	BALLARD PIER	18.9338588714599,72.84210205078125	Shelter	UP	WALCHAND HIRACHAND MARG	Colaba	0660																													
7	01007	BALLARD PIER	18.925235748291,72.8326644897461	Shelter	UP	WALCHAND HIRACHAND MARG	Colaba	1220																													
11	01011	CHH. SHIVAJI TERMINUS	18.9408626556396,72.833503723144531	Shelter	DN	D.N.ROAD	Colaba	0610	0660																												
13	01013	CHH. SHIVAJI TERMINUS	18.9391498565673,72.835342407226562	Shelter	DN	D.N.ROAD	Colaba	1380	0811	8131																											
16	01016	BHULESHWAR	18.9525604248046,72.829681396484375	Shelter	UP	KALBADEVI ROAD	Colaba	1010																													
17	01017	BHULESHWAR	18.9527015686035,72.829872131347656	Pole	UP	KALBADEVI ROAD	Colaba	0101	1240																												
18	01018	BHULESHWAR	18.9527969360351,72.829994201660156	Shelter	UP	KALBADEVI ROAD	Colaba	0050	0090	0140	0150	1340																									
19	01019	BHULESHWAR	18.981944,73.984	Shelter	DN	KALBADEVI ROAD	Colaba	0050	0090	0140	0150	1010	1240	1340																							
20	01020	CARNAC BUNDER	18.9499454498291,72.84063720703125	Pole	UP	P. D'MELLO ROAD	Colaba	0410	0440	0490																											
21	01021	CARNAC BUNDER	18.949918746948242,72.840904235839844	Shelter	DN	P. D'MELLO ROAD	Colaba	0440	0490																												
24	01024	CENTRAL RLY GOODS	18.9605464935302,72.843231201171875	Shelter	UP	P. D'MELLO ROAD	Colaba	0440																													
28	01028	Chakala Market	18.9486675262451,72.835006713867188	Shelter 	UP	Mohd.Ali Rd.	Colaba	0010	0011		0041	0511	0541																								
29	01029	Chakala Market	18.9501934051513,72.834487915039062	Shelter 	UP	Mohd.Ali Rd.	Colaba	0030	0450	1250	1300																										
31	01031	CHH. SHIVAJI TERMINUS	18.941612,72.834496	Shelter 	DN	D.N.Rd.	Colaba	0080	0191	0450	0811	0017	0138																								
33	01033	CHH. SHIVAJI TERMINUS	18.9417362213134,72.834877014160156	Shelter 	DN	D.N.Rd.	Colaba	0010	0021	0030	0111	0680	1030	1250																							
36	01036	CHH. SHIVAJI TERMINUS	18.9410228729248,72.833198547363281	Shelter	DN	MAHAPALIKA ROAD	Colaba	0140	0690	0740	1010	1260																									
37	01037	CHH. SHIVAJI TERMINUS	18.940673828125,72.833335876464844	Shelter	 DN	MAHAPALIKA ROAD	Colaba	0280	0610	0660																											
38	01038	CHH. SHIVAJI TERMINUS	18.9408626556396,72.833503723144531	Shelter	UP	MAHAPALIKA ROAD	Colaba	0610	0660	0690	1260																										
39	01039	CHH. SHIVAJI TERMINUS	18.9392738342285,72.8351516723632	Shelter	UP	MAHAPALIKA ROAD	Colaba	0280	0740																												
40	01040	CHH. SHIVAJI TERMINUS	18.9406661987304,72.83343505859375	Shelter	UP	MAHAPALIKA ROAD	Colaba	0140	1010																												
42	01042	CHH. SHIVAJI TERMINUS	18.9407653808593,72.8348617553711	Shelter	UP	D.N.ROAD	Colaba	0010	0011	0030	0041	0450	0510																								
44	01044	CHH. SHIVAJI TERMINUS	18.9413986206054,72.834671020507812	Shelter	UP	D.N.ROAD	Colaba	0680	1030	1334																											
45	01045	CHH. SHIVAJI TERMINUS	18.9419136047363,72.834518432617188	Shelter	UP	D.N.ROAD	Colaba	0090	0811	1240	1250	1300																									
48	01048	COLABA BUS STATION	18.9123001098632,72.821907043457031	Shelter 	DN	NANABHAI MOOSE ROAD	Colaba	0010	0021	0030	0111	0680	1030	1060	1230	1250	1370																				
49	01049	COLABA BUS STATION	18.9128074645996,72.823318481445312	Pole	DN	WOMENS GRADUATE UNION ROAD	Colaba	0090	0510	0540	0830	1240	1324	1334																							
50	01050	COLABA BUS STATION	18.9128837585449,72.822807312011719	Shelter 	UP	WOMENS GRADUATE UNION ROAD	Colaba	0090	0510	0540	0830	1240	1324	1334																							
51	01051	COLABA BUS STATION	18.912884,72.822807	Shelter 	UP	WOOD HOUSE ROAD	Colaba	0830	1060	1230	1324	1374																									
52	01052	COLABA BUS STATION	18.9141654968261,72.822738647460938	Shelter 	UP	WOOD HOUSE ROAD	Colaba	0010	0021	0030	0090	0111	0510	0541	0680	1030	1240	1250	1334																		
54	01054	COLABA DEPOT	18.920923,72.830475	Shelter 	DN	S.B.S.ROAD	Colaba	0010	0030	0021	0111	0680	1030	1060	1230	1250	'1370																				
55	01055	COLABA DEPOT	18.920923,72.830475	Shelter 	UP	S.B.S.ROAD	Colaba	0021	0030	0111	1250																										
56	01056	COLABA DEPOT	18.920923,72.830475	Shelter 	UP	S.B.S.ROAD	Colaba	0830	1060	1230	1320	1374																									
59	01059	COLABA POST OFFICE	18.9113273620605,72.82086181640625	Pole	DN	NANABHAI MOOSE ROAD	Colaba	0010	0021	0030	0111	0680	1030	1060	1230	1250	1370																				
60	01060	COLABA POST OFFICE	18.9108619689941,72.820556640625	Pole	UP	NANABHAI MOOSE ROAD	Colaba	0010	0021	0030	0111	0680	1030	1060	1230	1250	1370																				
61	01061	DHOBIGHAT	18.907118,72.81234	Pole	DN	DR. HOMI BHABA ROAD	Colaba	0030	0111	0680	1250	1374																									
63	01063	DONGRI	18.9573726654052,72.833938598632812	Shelter	DN	S.V.P. ROAD	Colaba	0200	0420																												
65	01065	Dr. S.P. M. Chowk	18.9274806976318,72.831352233886719	Shelter 	UP	M.G. ROAD	Colaba	0070	1060	1220	1,230	1320																									
66	01066	Dr. S.P. M. Chowk	18.9260635375976,72.831306457519531	Shelter 	UP	M.G. ROAD	Colaba	0090	0140	0280	0680	0690	0740	0830	0860	1,010	1030	1240	1,330	0097	0748	0758	0768														
67	01067	Dr. S.P. M. Chowk	18.9263000488281,72.831314086914062	Shelter 	UP	M.G. ROAD	Colaba	0010	0061	0071	0171	0191	0201	0211	0221	0510	0541	0017	0138																		
68	01068	Dr. S.P. M. Chowk	18.9265613555908,72.831497192382812	Shelter 	DN	M.G. ROAD	Colaba	0071	0097	0140	0201	0211	0280	0680	0661	0690	0740	0860	1,220	1240	1300																
